task_id,run_timestamp,category,url,url_domain,instruction,instruction_length,status,latency_seconds,steps_taken,steps_budget,steps_utilization_pct,retry_count,llm_model,llm_provider,llm_calls,total_thought_chars,final_answer,final_answer_length,avg_step_latency_seconds,max_step_latency_seconds,error_code,error_label,error_hint,error_message,has_captcha_signal,has_auth_signal,has_timeout_signal,has_bot_block_signal,failure_root,task_validity_code,task_validity_reason,task_validity_confidence,url_http_status,url_probe_note
task_0001,2026-06-24T08:37:27.192722+00:00,READ,https://www.amazon.com,www.amazon.com,"Find the product page for ""Amazon Basics AA Batteries"" and record the pack size and pricing information.
Only use http://amazon.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",240,SUCCESS,76.77,5,5,100.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,5,4919,"I was able to navigate to Amazon.com, dismiss the initial popup, and search for 'Amazon Basics AA Batteries'. I clicked on the most relevant autocomplete suggestion, which should have led to the search results page. However, the page did not fully load within the allotted steps, displaying only skeleton/placeholder content. Therefore, I was unable to reach the product page and extract the pack size and pricing information for 'Amazon Basics AA Batteries'.",459,15.4,15.4,,,,,False,False,False,False,,VALID,,1.0,200,
task_0002,2026-06-24T08:38:59.639295+00:00,READ,https://www.foxnews.com,www.foxnews.com,"Use the website’s search function to find an article related to the ""US Economy"" and extract the main points from the introduction.
Only use http://foxnews.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",268,SUCCESS,76.93,5,5,100.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,5,5374,"I navigated to foxnews.com and attempted to search for 'US Economy' using the website's search function. Unfortunately, the search returned 'No search results.' As a result, I was unable to find an article related to the 'US Economy' and extract its main points from the introduction.",284,15.4,15.4,,,,,False,False,False,False,,VALID,,1.0,200,
task_0003,2026-06-24T08:40:31.929549+00:00,READ,https://www.healthline.com,www.healthline.com,"Use the search tool to look for “diabetes management” and output the titles of the first five articles displayed.
Only use http://healthline.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",253,SUCCESS,60.37,5,5,100.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,5,5128,"I have successfully navigated to healthline.com and performed a search for ""diabetes management"". The browser navigated to the search results page (https://www.healthline.com/search?q1=diabetes%20management). However, the page content appears to be still loading or displaying placeholder content, and I was unable to view or extract the titles of the first five articles. Therefore, the task could not be fully completed.",422,12.1,12.1,,,,,False,False,False,False,,VALID,,1.0,200,
task_0004,2026-06-24T08:41:47.967399+00:00,READ,https://www.medicinenet.com,www.medicinenet.com,"Search the MedicineNet website for articles on “Type 2 Diabetes” and list the titles of the first five results.
Only use http://medicinenet.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",252,FAILED,20.4,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,1,693,,0,3.4,3.4,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0005,2026-06-24T08:42:24.211583+00:00,READ,https://www.menshealth.com,www.menshealth.com,"Browse the homepage and list the titles of the first three articles in the Fitness section.
Only use http://menshealth.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",231,FAILED,3.34,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.6,0.6,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0006,2026-06-24T08:42:46.070968+00:00,CREATE,https://www.wikihow.com/Main-Page,www.wikihow.com,"Login, Goto My Profile > My Drafts, Compose a new article on wikiHow titled “How to Budget Your Monthly Expenses” with step-by-step instructions and practical saving tips.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from th",308,FAILED,34.28,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,3,3284,,0,5.7,5.7,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,True,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
task_0007,2026-06-24T08:43:36.057184+00:00,CREATE,https://www.radiotimes.com,www.radiotimes.com,"Save your favorite TV schedule listing for tonight by creating a bookmark on Radiotimes and adding a brief note on why you plan to watch that show.
Only use http://radiotimes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",287,FAILED,28.64,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,2,1867,,0,4.8,4.8,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0008,2026-06-24T08:44:20.166117+00:00,CREATE,https://www.apa.org,www.apa.org,"Subscribe to the APA weekly newsletter by entering your email address on the subscription form available on the homepage.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",254,FAILED,4.0,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.7,0.7,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0009,2026-06-24T08:44:40.315752+00:00,CREATE,https://www.bbcgoodfood.com,www.bbcgoodfood.com,"Write and submit a comment on the ""Avocado Toast"" recipe that includes a 4-star rating and a brief review of your experience.
Only use https://www.bbcgoodfood.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",272,FAILED,3.93,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.7,0.7,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,AGENT_FAILURE,UNKNOWN,No API key or no agent thoughts to analyse,0.0,200,
task_0010,2026-06-24T08:45:00.009346+00:00,CREATE,https://www.wikihow.com/Main-Page,www.wikihow.com,"Login, Goto My Profile > My Drafts, Write a new how-to guide on wikiHow called “How to Practice Mindfulness in Daily Life,” ensuring you include a dedicated tip for breathing exercises.
Only use http://wikihow.com to achieve the task. Don't go to any other site. The task is achievable with just navi",322,FAILED,4.21,6,5,120.0,0,gemini-2.5-flash,gemini-api/gemini-2.5-flash,0,0,,0,0.7,0.7,Logic_AgentLoopOrHallucination,LLM reasoning failure,Increase model size or add step validator,Failed to complete task in maximum steps,False,False,False,False,FRAMEWORK_LIMIT,Framework_NoFileHandling,browser-use has no file download/upload pipeline,0.95,200,
