ID,Starting URL,Category,Task
81,https://www.amazon.com,READ,"Find the product page for ""Amazon Basics AA Batteries"" and record the pack size and pricing information.
Only use http://amazon.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
88,https://www.apa.org,CREATE,"Subscribe to the APA weekly newsletter by entering your email address on the subscription form available on the homepage.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
89,https://www.apa.org,CREATE,"Build a personal reading list in your APA account by adding three selected articles from the psychology research section, ensuring at least one article is from PsycARTICLES.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
91,https://www.apa.org,READ,"Access the APA research database portal and list all available databases (such as PsycINFO, PsycARTICLES, PsycTESTS) along with a brief description for each.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
93,https://www.apa.org,READ,"Use the website’s search function to find articles published in 2022 related to ""clinical psychology"" and output the titles of the first four matches.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
96,https://www.apa.org,UPDATE,"Modify your APA account’s newsletter preferences to switch from bi-weekly updates to monthly summaries.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
106,https://www.apple.com,READ,"Locate the student discount page for MacBooks. Identify the discounted price of a base model MacBook Pro. Confirm what the eligibility requirements are for the discount and document them.
Only use http://apple.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
107,https://www.apple.com,READ,"Find the trade-in value of my iPhone 14 Pro. Its condition is good. 
Only use http://apple.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
108,https://www.apple.com,READ,"Locate the Apple Store locator and find the nearest three Apple stores to New York, New York, Zip Code 10003. For each store, note the address, phone number, and operating hours.
Only use http://apple.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
109,https://www.apple.com,READ,"Locate the repair manual for the latest MacBook Air model. Determine the table of contents and identify the section on Battery, and return a summarized step by step instruction on how to remove the battery.
Only use http://apple.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
110,https://www.apple.com,READ,"Find out if unlimited repairs are included with the Airpods Pro.
Only use http://apple.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
163,https://www.betterhealth.vic.gov.au,READ,"Search the website for information on ""diabetes type 2"" and extract three key recommendations from the article.
Only use http://betterhealth.vic.gov.au to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
234,https://my.clevelandclinic.org,READ,"Search for articles on nutrition and healthy eating within the health resources. List the titles of the first three resources you find.
Only use http://clevelandclinic.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
235,https://my.clevelandclinic.org,READ,"Explore the mental health and wellness section. Summarize the support services available for managing stress and anxiety.
Only use http://clevelandclinic.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
236,https://my.clevelandclinic.org,READ,"Navigate to the Health Education section and list the top 5 articles on heart disease available on the Cleveland Clinic website.
Only use http://clevelandclinic.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
395,https://www.eater.com,READ,"Navigate to the Eater.com homepage and list the titles of the top 5 featured articles displayed.
Only use http://eater.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
396,https://www.eater.com,READ,"Use the search function on Eater.com to find articles about ""celebrity chefs"" and provide the headlines and publication dates of the first 3 results.
Only use http://eater.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
397,https://www.eater.com,READ,"Locate a feature article on international dining scenes and list two featured cities mentioned in the piece.
Only use http://eater.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
456,https://www.euronews.com,READ,"Navigate to the ""Latest"" section and list the headlines of the three most recent articles.
Only use http://euronews.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
457,https://www.euronews.com,READ,"Search for articles on “Brexit” and extract the publication date and a brief summary of the first article in the search results.
Only use http://euronews.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
458,https://www.euronews.com,READ,"Navigate to the EU Policy section and copy and paste into text the introductory paragraph of the featured article.
Only use http://euronews.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
577,https://www.foxnews.com,READ,"Use the website’s search function to find an article related to the ""US Economy"" and extract the main points from the introduction.
Only use http://foxnews.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
580,https://www.foxsports.com,READ,"Search for and summarize the main points from the latest FOX Sports article about the NBA Finals.
Only use http://foxsports.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
581,https://www.foxsports.com,READ,"Use the search function to find an article mentioning “March Madness” and output the first two paragraphs of that article.
Only use http://foxsports.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
582,https://www.foxsports.com,READ,"Browse the video highlights section and list the titles of the five most recent NBA highlight videos.
Only use http://foxsports.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
