ID,Starting URL,Category,Task
21,https://www.airbnb.com,READ,"Filter properties in Chicago by those offering free cancellation for a one-week stay in August, then list the first five options with their prices.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
107,https://www.apple.com,READ,"Find the trade-in value of my iPhone 14 Pro. Its condition is good. 
Only use http://apple.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
45,https://aliexpress.com,READ,"Find a smart watch with more than 20 reviews. Filter the reviews to the most recent and summarize the most common positive and negative points mentioned by customers.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1901,https://www.tvguide.com,READ,"Search for ""NCIS"" on TV Guide and note the airing times for today.
Only use http://tvguide.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
769,https://www.hollywoodreporter.com,READ,"Access the business analysis area to find an article on emerging film production trends, and output its title along with a brief summary.
Only use http://hollywoodreporter.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
17,https://www.airbnb.com,CREATE,"Go to Airbnb Experience for Bangkok and look for a food tour and list the itinerary and pricing information.
Only use http://airbnb.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
150,https://www.bestbuy.com,CREATE,"Write and submit a detailed product review for the ""PS5"" including a star rating and comments on your experience.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
151,https://www.bestbuy.com,CREATE,"On the ""Sony 75-inch 4K TV"" product page, post a new question in the Q&A section asking, ""Does this TV support VESA wall mounting?""
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
731,https://www.grubhub.com,CREATE,"Submit a review for ""In-N-Out Burger"" highlighting excellent customer service and overall dining experience.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2378,https://www.bing.com,CREATE,"Request a creative recipe idea that primarily features avocados using Bing's copilot chat, then record the resulting text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
161,https://www.bestbuy.com,UPDATE,"Update your shipping settings in Best Buy by changing your primary shipping address to New York City, NY 10003. 
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2615,https://www.nike.com,UPDATE,"Add Nike Air Force 1 product to your cart, then update the shopping cart quantity from one pair to two pairs of the item.
Only use https://www.nike.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2478,https://www.deezer.com/us,UPDATE,"Create a favorites track list and add ""Life is a Highway"" and ""Route 66."" Then update the list by adding ""Highway to Hell."" 
Only use https://www.deezer.com/us/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
224,https://www.cbr.com,UPDATE,"Within the CBR forums, reply to a discussion post from the forum. Then edit your previously created post with additional information, then save the updated post and confirm the change.
Only use http://cbr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1697,https://stackoverflow.com/questions,UPDATE,"Find and answer a question about Python list slicing, then update your previous answer on Python's list slicing by adding new insights and updated code examples.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
154,https://www.bestbuy.com,DELETE,"Add a promotional code to your shopping cart for a discount, then remove the code and verify that the cart total reverts to its original amount.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1660,https://stackexchange.com,DELETE,"Create a temporary post in the Cross Validated community and delete it using available deletion options, confirming that the post is no longer visible.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
941,https://www.khanacademy.org,DELETE,"As a teacher, create a temporary test assignment for ""Biology Lab"" and then delete it, ensuring it is removed from your assignments list.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1619,https://www.springer.com/us,DELETE,"Go to your personal reading list and add the article ""Recent advances and challenges in experiment-oriented polymer informatics."" Then delete the article from your saved items.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1601,https://open.spotify.com,DELETE,"Create a temporary playlist titled ""Test Playlist,"" add two tracks, then delete the playlist and confirm its removal from your library.
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1868,https://www.tomsguide.com,FILE_MANIPULATION,"Locate the downloadable PDF version of the ""How to Enable 2FA"" guide on Tom's Guide, download it, and verify that the filename contains the text ""2FA"".
Only use http://tomsguide.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1621,https://www.springer.com/us,FILE_MANIPULATION,"Locate and download the full-text PDF of the article ""Hydrologic modeling and flood-frequency analysis under climate change scenario"" and verify that the file includes the article title in its header.
Only use http://springer.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1606,https://open.spotify.com,FILE_MANIPULATION,"Navigate to the offline mode troubleshooting section, download the guide for offline playback, and verify that the file contains the word ""offline.""
Only use http://spotify.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2166,https://www.worldbank.org/ext/en/home,FILE_MANIPULATION,"Download the latest annual World Bank report available in PDF format from the ""Publications"" or ""Reports"" section.
Only use http://worldbank.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
357,https://www.deviantart.com,FILE_MANIPULATION,"Search for downloadable art resources (e.g., brushes or overlays), download a file titled “Digital Art Brushes Pack,” and verify that the downloaded file has a “.zip” extension.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
